,OriginalID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
1355,Atk300,2.13E-06,54.549,24.037,95.198,0.579073064,0.350521417,1.993319635,40.649,71.161,15.438,0.228551648
1356,Atk301,2.01E-06,45.759,21.395,64.172,0.764619258,0.464507408,2.575203003,18.413,42.777,10.409,0.300111849
1357,Atk302,2.19E-06,55.995,21.2,Inf,0.509101901,NA,1.831685235,Inf,Inf,13.656,NA
1358,Atk303,2.72E-06,56,20.736,Inf,0.507579032,NA,1.822013404,Inf,Inf,9.101,NA
1359,Atk304,2.54E-06,56.614,19.77,60.67,0.478713327,4.46279757,1.763518809,4.056,40.9,9.587,-3.984084244
1360,Atk305,1.70E-06,40.814,20.448,44.572,0.914697799,-3.293027925,3.169147329,3.758,24.124,5.862,4.207725724
1361,Atk306,1.92E-06,51.658,23.6,68.189,0.633260926,0.752192408,2.142719062,16.531,44.589,12.288,-0.118931482
1362,Atk307,1.52E-06,42.131,24.303,49.656,1.106216172,-1.873059212,NA,7.525,25.353,6.683,2.979275384
1363,Atk308,2.13E-06,46.673,21.944,64.771,0.76559089,0.446575664,2.568143572,18.098,42.827,10.551,0.319015226
1364,Atk309,2.10E-06,55,21.235,Inf,0.471184768,NA,1.751490159,Inf,Inf,14.923,NA
1365,Atk31,1.93E-06,56.305,23.195,83.079,0.479286956,0.475227047,1.759234793,26.774,59.884,18.54,0.004059909
1366,Atk310,1.61E-06,48.377,24.626,87.872,0.879726851,NA,2.907761059,39.495,63.246,8.11,NA
1367,Atk311,1.94E-06,50.393,24.51,53.665,0.745689198,5.681221881,2.455064225,3.272,29.155,6.19,-4.935532683
1368,Atk312,2.30E-06,55.229,20.668,61.63,0.536805828,3.134510631,1.893049665,6.401,40.962,8.756,-2.597704804
1369,Atk313,2.17E-06,57.148,21.276,69.77,0.480627989,1.444825927,1.764250524,12.622,48.494,13.667,-0.964197938
1370,Atk314,2.21E-06,50.756,22.962,Inf,0.636783212,0.272646497,2.154981749,Inf,Inf,12.508,0.364136716
1371,Atk315,2.54E-06,56.123,20.11,80.498,0.466322775,0.433415093,1.738888457,24.375,60.388,15.726,0.032907681
1372,Atk316,2.01E-06,52.795,21.987,73.751,0.584672735,0.468692174,2.018160465,20.956,51.764,14.248,0.115980561
1373,Atk317,6.49E-07,54.925,41.162,62.853,-0.703286702,1.488260086,NA,7.928,21.691,10.654,-2.191546789
1374,Atk318,4.94E-07,55.558,45.527,64.294,-0.866691957,1.054556569,NA,8.736,18.767,10.681,-1.921248526
1375,Atk319,5.65E-07,53.859,48.441,66.619,-0.790781911,0.804514492,NA,12.76,18.178,9.365,-1.595296403
1376,Atk32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377,Atk320,6.08E-07,57.849,44.053,63.426,-0.547236984,3.938233505,NA,5.577,19.373,3.459,-4.485470489
1378,Atk321,8.52E-07,58.323,42.658,65.161,-0.597651106,3.661682208,NA,6.838,22.503,4.559,-4.259333314
1379,Atk322,6.67E-07,55.866,43.463,70.391,-0.552275274,1.377508274,NA,14.525,26.928,7.349,-1.929783548
1380,Atk323,6.97E-07,61.173,46.566,65.892,-0.473827385,4.552485912,NA,4.719,19.326,3.539,-5.026313296
1381,Atk324,8.23E-07,62.888,51.779,67.765,-0.343414342,5.466242682,NA,4.877,15.986,3.145,-5.809657024
1382,Atk325,5.76E-07,63.1,50.603,66.519,-0.443825997,NA,NA,3.419,15.916,4.679,NA
1383,Atk326,6.65E-07,64.062,54.453,74.139,-0.632353452,2.152047939,NA,10.077,19.686,4.149,-2.784401391
1384,Atk327,5.91E-07,62.05,53.365,68.486,-0.453629708,4.550211071,NA,6.436,15.121,2.823,-5.003840779
1385,Atk328,1.12E-06,54.619,31.719,73.716,0.981243304,0.536940989,NA,19.097,41.997,10.772,0.444302316
1386,Atk329,1.08E-06,57.397,33.677,66.69,0.95919579,1.381587092,NA,9.293,33.013,9.13,-0.422391302
