"","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","orginalID"
"23",2.09330111805728e-05,17.6504484,-4.3975516,58.3324484,NA,0.419755615182567,NA,40.682,62.73,14.033,NA,"23"
"24",2.87978007082201e-05,28.589128,-9.290872,62.273128,0.233805561316235,0.456848217468,1.37268978813001,33.684,71.564,22.866,-0.223042656151765,"24"
"25",0.0296521842149835,25.731697,-Inf,43.377697,0.181232008500187,0.818130205931855,1.27471018545368,17.646,Inf,15.375,-0.636898197431668,"25"
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26"
"27",-0.291545849533533,1,1,1,NA,-0.182830962312178,NA,0,0,-Inf,NA,"27"
"28",2.52595081076336,32.269,-20.815,39.203,0.323379768904703,NA,NA,6.934,60.018,9.085,NA,"28"
"29",1.33450014403768,28.485,0.253999999999998,58.053,0.300701492860303,NA,NA,29.568,57.799,15.861,NA,"29"
"30",-0.0237957311317048,1,1,1,NA,-0.822597146878843,NA,0,0,-Inf,NA,"30"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31"
"32",6.00485238868654,13.997,0.929000000000002,41.489,1.16388548341926,0.730315152044739,NA,27.492,40.56,8.653,0.433570331374526,"32"
"33",5.31132514030727,18.675,3.916,21.131,0.931879101935796,-2.49046807510481,3.85076669575544,2.456,17.215,4.043,3.42234717704061,"33"
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34"
"35",4.88613563603224,31.764,0.478999999999999,35.585,0.138339680473196,NA,NA,3.821,35.106,31.694,NA,"35"
"36",3.59614133302803,16.362,2.4,34.297,1.10981345066721,1.23227844501873,4.98438887199781,17.935,31.897,7.781,-0.122464994351518,"36"
"37",3.42051580418281,33.304,-Inf,36.521,0.139905232134862,NA,NA,3.217,Inf,13.131,NA,"37"
"38",6.12078540283714,32.342,0.585000000000001,35.768,0.21149302198086,NA,NA,3.426,35.183,21.435,NA,"38"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40"
"41",6.21011955463709,18.084,2.895,36.581,0.71652946527956,0.518336576053235,2.81813026906513,18.497,33.686,24.492,0.198192889226325,"41"
"42",3.65271431350921,10.093,3.902,30.927,2.48268926828034,1.27912987169282,39.7355025860422,20.834,27.025,13.505,1.20355939658752,"42"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43"
"44",6.35537636202395,17.968,0.405999999999999,37.156,0.340182995484801,1.00920469497652,NA,19.188,36.75,21.143,-0.669021699491715,"44"
"45",3.81902734261116,16.723,2.566,25.749,0.803066160102753,-2.48716992353002,3.20158155908345,9.026,23.183,7.197,3.29023608363278,"45"
