ID,sharpschoolhigh_1981,sharpschoollow_1981,sharpschoolfull_1981,best_model
Atk214,-1620.189881,-1576.637397,-1639.345759,sharpschoollow_1981
Atk215,-1530.772247,-1475.78568,-1600.247926,sharpschoollow_1981
Atk216,-1420.62179,-1419.733779,-1416.627081,sharpschoolfull_1981
Atk217,-1267.911528,-1267.309195,-1265.629821,sharpschoolfull_1981
Atk218,-1551.931051,-1522.929898,-1564.983276,sharpschoollow_1981
Atk219,-1600.57879,-1587.277589,-1649.938162,sharpschoollow_1981
Atk22,-1684.243978,-1613.815501,-1707.466578,sharpschoollow_1981
Atk220,-1591.849902,-1559.229943,-1619.991953,sharpschoollow_1981
Atk221,-1641.465673,-1569.42547,-1694.616716,sharpschoollow_1981
Atk222,-1654.903825,-1632.805525,-1705.900498,sharpschoollow_1981
Atk223,-1629.717728,-1499.149749,-1602.909813,sharpschoollow_1981
Atk224,-1209.117152,-1209.106517,-1205.133309,sharpschoolfull_1981
Atk225,-1629.225621,-1629.278532,-1626.464826,sharpschoolfull_1981
Atk226,-1454.172332,-1453.688457,-1451.069224,sharpschoolfull_1981
Atk227,-1470.130343,-1447.084917,-1485.616364,sharpschoollow_1981
Atk228,-1367.243499,-1367.243499,-1372.233035,sharpschoolhigh_1981
Atk229,-1439.752266,-1439.755981,-1436.85482,sharpschoolfull_1981
Atk23,-1507.74349,-1474.214482,-1507.357221,sharpschoollow_1981
Atk230,-1194.495182,-1194.495182,-1193.35317,sharpschoolfull_1981
Atk231,-1531.519814,-1531.519814,-1527.519814,sharpschoolfull_1981
Atk232,-1543.324056,-1543.324056,-1550.174415,sharpschoolhigh_1981
Atk233,-1476.869136,-1476.86952,-1473.534331,sharpschoolfull_1981
Atk234,-1164.081354,-1164.085573,-1160.136992,sharpschoolfull_1981
Atk235,-1140.958217,-1140.958217,-1137.673162,sharpschoolfull_1981
Atk236,-1292.417681,-1292.417681,-1292.266926,sharpschoolfull_1981
Atk237,-1488.492143,-1488.492411,-1486.417023,sharpschoolfull_1981
Atk238,-1358.610024,-1346.038958,-1357.966313,sharpschoollow_1981
Atk239,-1164.069864,-1164.069864,-1162.556767,sharpschoolfull_1981
Atk24,-1013.408419,-1013.408419,-1010.635547,sharpschoolfull_1981
