ID,OriginalID,topt,e,q10,coef_e,ConCommon,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,StandardisedTraitName,StandardisedTraitUnit,Habitat,Citation,Metabolic_rate,PT
392,420,33.6867725,0.553813492,NA,NA,apical shoots,Viridiplantae,Streptophyta,NA,Lamiales,Plantaginaceae,Callitriche,Callitriche obtusangula,respiration rate,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",R,
394,422,36.8727064,0.024849243,1.035257814,0.024849084,apical shoots,Viridiplantae,Streptophyta,NA,Lamiales,Plantaginaceae,Callitriche,Callitriche obtusangula,net photosynthesis,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",NP,
396,424,42.6202053,0.114110782,NA,NA,NA,Viridiplantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Enteromorpha,Enteromorpha intestinalis,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
397,425,39.6120776,0.102653866,1.145047527,0.102654648,NA,Protista,Phaeophyceae,NA,Fucales,Fucaceae,Fucus,Fucus ceranoides,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
398,426,34.4122075,0.530336941,2.014051038,0.564866451,NA,Viridiplantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva lactuca,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
399,427,32.0045984,0.223607806,1.356718696,0.204911615,NA,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondrus,Chondrus crispus,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
400,428,28.714692,0.007629619,NA,NA,NA,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Griffithsia,Griffithsia flosculosa,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
401,429,24.1201876,0.273835707,1.462177324,0.081735508,NA,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,Porphyra umbilicalis,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
402,430,34.6736763,0.204941284,NA,NA,NA,Viridiplantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Enteromorpha,Enteromorpha intestinalis,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
403,431,28.0053504,0.089456008,NA,NA,NA,Protista,Phaeophyceae,NA,Fucales,Fucaceae,Fucus,Fucus ceranoides,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
404,432,37.1906186,0.36068889,1.615838907,0.360603525,NA,Viridiplantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva lactuca,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
405,433,27.9843471,0.106259908,NA,NA,NA,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondrus,Chondrus crispus,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
406,434,27.1862758,0.090504289,NA,NA,NA,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Griffithsia,Griffithsia flosculosa,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
407,435,32.2683936,0.153359067,NA,NA,NA,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,Porphyra umbilicalis,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
408,436,29.9899306,0.42000747,1.766982953,0.519624266,NA,Viridiplantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Enteromorpha,Enteromorpha intestinalis,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
409,437,29.3439677,0.690857093,2.640799942,0.743402078,NA,Protista,Phaeophyceae,NA,Fucales,Fucaceae,Fucus,Fucus ceranoides,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
410,438,28.0881502,0.312438367,NA,NA,NA,Viridiplantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva lactuca,respiration rate,mol o2 Kg(DW)^-1 s^-1,marine,"Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC> of the Marine Biological Association of <fc><U+00BE><U+008C><U+00B6><U+008C><U+00BC><fc><U+00BE><U+008D><U+0083><U+00A0><U+00BC>, 341_348. Retrieved from http://journals.cambridge.org_S0025315400034536",R,
