ID,OriginalID,topt,e,ConCommon,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,StandardisedTraitName,habitat,Citation,Metabolic_rate,Habitat,PT
1814,MR017,29.934,0.236958601,NA,Plantae,Spermatophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,CAM
1815,MR018,30.9398,0.304800866,NA,Plantae,Spermatophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,CAM
1816,MR019,29.7476,0.211376613,NA,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea abies,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,C3
1817,MR020,27.6458,0.348104192,NA,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea abies,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,C3
1818,MR021,22.1037,0.162522786,NA,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea abies,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,C3
1819,MR022,27.7078,0.349565643,NA,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea abies,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,C3
1823,MR032,33.0852,0.04154547,NA,Plantae,Spermatophyta,Magnoliopsida,Violales,Salicaceae,Populus,Populus tremula,net photosynthesis,terrestrial,"P_rnik, T., Ivanova, H., Keerberg, O., Vardja, R., & Niinemets, U. (2014). Tree age-dependent changes in photosynthetic and respiratory CO2 exchange in leaves of micropropagated diploid, triploid and hybrid aspen. Tree Physiology, 34(6), 585_94. http://doi.org/10.1093/treephys/tpu043",NP,Terrestrial,C3
1826,MR035,45.3043,0.362181194,NA,Plantae,Spermatophyta,Magnoliopsida,Violales,Salicaceae,Populus,Populus tremula,respiration rate,terrestrial,"P_rnik, T., Ivanova, H., Keerberg, O., Vardja, R., & Niinemets, U. (2014). Tree age-dependent changes in photosynthetic and respiratory CO2 exchange in leaves of micropropagated diploid, triploid and hybrid aspen. Tree Physiology, 34(6), 585_94. http://doi.org/10.1093/treephys/tpu043",R,Terrestrial,C3
1827,MR036,43.9674,0.405242359,NA,Plantae,Spermatophyta,Magnoliopsida,Violales,Salicaceae,Populus,Populus tremula,respiration rate,terrestrial,"P_rnik, T., Ivanova, H., Keerberg, O., Vardja, R., & Niinemets, U. (2014). Tree age-dependent changes in photosynthetic and respiratory CO2 exchange in leaves of micropropagated diploid, triploid and hybrid aspen. Tree Physiology, 34(6), 585_94. http://doi.org/10.1093/treephys/tpu043",R,Terrestrial,C3
1828,MR037,48.1191,0.526091116,NA,Plantae,Spermatophyta,Magnoliopsida,Violales,Salicaceae,Populus,Populus tremula,respiration rate,terrestrial,"P_rnik, T., Ivanova, H., Keerberg, O., Vardja, R., & Niinemets, U. (2014). Tree age-dependent changes in photosynthetic and respiratory CO2 exchange in leaves of micropropagated diploid, triploid and hybrid aspen. Tree Physiology, 34(6), 585_94. http://doi.org/10.1093/treephys/tpu043",R,Terrestrial,C3
