,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,orginalID,AIC
197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NULL
198,6.25E-06,22.936354,-6.158646,37.303354,NA,1.37440396,NA,14.367,43.462,7.786,NA,218,-116.4664955
199,6.32E-06,21.898031,13.189031,63.524031,NA,0.612760083,NA,41.626,50.335,6.74,NA,219,-130.7757901
200,1.35E-05,24.48,7.223,71.805,0.769183441,NA,2.812239014,47.325,64.582,10.268,NA,220,-118.4402549
201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,NULL
202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,NULL
203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,NULL
204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,NULL
205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,NULL
206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,NULL
207,7.59E-07,18.852012,3.705012,Inf,0.132831565,0.213082729,1.200758587,Inf,Inf,11.206,-0.080251164,233,-253.5211064
208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,NULL
209,3.92E-05,33.097961,-8.297039,85.270961,0.53546199,-0.239946791,2.056622919,52.173,93.568,15.318,0.775408781,237,-940.4674217
210,2.68E-05,38.175728,-32.780272,41.274728,0.270086206,NA,1.423983316,3.099,74.055,8.417,NA,238,-364.0220782
211,6.30E-05,33.4296194,1.6256194,54.9306194,0.675061077,0.529517721,2.447808498,21.501,53.305,9.99,0.145543356,239,-757.2612223
212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NULL
213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,NULL
214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,NULL
215,2.32E-05,39.326303,#NAME?,50.621303,0.243451682,3.132156904,1.356186611,11.295,Inf,12.34,-2.888705221,243,-159.6653987
216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,NULL
217,4.58E-05,34.357477,#NAME?,55.804477,0.225510736,NA,1.333137287,21.447,Inf,14.721,NA,245,-116.1100763
218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,NULL
219,2.99E-05,46.825595,#NAME?,53.599595,0.019360282,1.721048424,1.023954534,6.774,Inf,25.669,-1.701688142,247,-169.261466
220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,NULL
221,1.20E-05,45.864785,-17.483215,50.743785,0.335856102,NA,1.532601477,4.879,68.227,8.363,NA,249,-138.4618263
222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NULL
223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NULL
224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,NULL
225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,NULL
226,2.79E-07,3.005,#NAME?,34.546,NA,0.200523721,NA,31.541,Inf,9.147,NA,254,-381.3310302
227,6.02E-07,7,-0.08,Inf,NA,0.183147169,NA,Inf,Inf,5.983,NA,255,-224.1265657
228,2.12E-06,19.517113,11.340113,34.022113,2.54355643,1.592064514,NA,14.505,22.682,4.143,0.951491916,256,-225.2445713
229,2.31E-06,23.585737,-20.125263,47.689737,0.378534839,0.596905163,1.68731119,24.104,67.815,12.53,-0.218370324,257,-228.9482378
230,5.90E-06,20.509424,9.761424,34.174424,2.095245384,1.529989778,NA,13.665,24.413,4.625,0.565255606,258,-204.7169382
231,4.82E-06,20.141297,12.221297,39.201297,3.130910647,1.170791393,NA,19.06,26.98,4.502,1.960119254,259,-211.8892912
232,6.61E-06,25.144122,2.669122,27.580122,0.958560672,0.778943061,3.665761587,2.436,24.911,3.019,0.179617611,260,-200.4550302
233,7.77E-06,34.123229,19.614229,36.566229,1.647506021,NA,NA,2.443,16.952,2.282,NA,261,-224.1017935
234,1.37E-06,30.956273,9.347273,53.638273,0.834704008,NA,2.981562251,22.682,44.291,8.325,NA,262,-222.0176683
235,9.97E-06,31.195105,15.783105,Inf,1.019927811,NA,3.794556491,Inf,Inf,10.596,NA,263,-199.4589179
236,3.56E-06,29.314578,-0.360422,41.563578,0.646032304,NA,2.353991816,12.249,41.924,7.29,NA,264,-190.9692326
237,6.29E-06,34.2895275,17.8015275,36.7705275,1.440057003,NA,NA,2.481,18.969,2.531,NA,265,-217.1362227
238,0.024023184,38.168,#NAME?,41.773,NA,4.809238598,NA,3.605,Inf,19.957,NA,266,-50.34281756
239,0.011058401,31.469,-11.286,57.447,NA,0.906929428,NA,25.978,68.733,12.826,NA,267,-84.32897035
240,0.006235626,33.153,#NAME?,Inf,NA,0.140260008,NA,Inf,Inf,22.025,NA,268,-79.00377911
