,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,orginalID
564,6.59E-18,35.4668892,-1.3841108,Inf,0.535977572,NA,2.043057724,Inf,Inf,10.746,NA,594
565,2.69E-05,35.38200416,-3.05099584,Inf,0.139229392,NA,1.198990497,Inf,Inf,27.321,NA,595
566,4.03E-05,35.4126474,-0.6303526,Inf,0.219883025,NA,1.339637585,Inf,Inf,23.685,NA,596
567,2.46E-05,35.2568035,-1.8341965,Inf,0.22714125,NA,1.353374353,Inf,Inf,24.389,NA,597
568,2.17E-05,35.4132058,6.1372058,Inf,0.545760295,NA,2.068790073,Inf,Inf,15.646,NA,598
569,4.40E-07,30,-16.103,Inf,0.24042502,NA,1.385912298,Inf,Inf,9.77,NA,599
570,2.51E-07,30,#NAME?,Inf,0.156416526,NA,1.240819488,Inf,Inf,10.895,NA,600
571,3.18E-05,44,4.285,Inf,0.151168699,NA,1.206168965,Inf,Inf,23.184,NA,601
572,2.78E-05,44,5.092,Inf,0.119519373,NA,1.158270855,Inf,Inf,25.511,NA,602
573,3.10E-05,47,4.804,Inf,0.266194238,NA,1.388552723,Inf,Inf,17.471,NA,603
574,1.48E-05,43,5.458,Inf,0.374597115,NA,1.59786022,Inf,Inf,10.2,NA,604
575,8.65E-06,46,4.204,Inf,0.546908338,NA,1.957262284,Inf,Inf,3.542,NA,605
576,8.87E-06,46,0.26,Inf,0.492641601,NA,1.837009238,Inf,Inf,3.928,NA,606
577,4.64E-06,46,8.468,Inf,0.42859798,NA,1.702552891,Inf,Inf,4.744,NA,607
578,3.06E-06,46,7.399,Inf,0.354471949,NA,1.555854388,Inf,Inf,6.136,NA,608
579,1.56E-06,30,-23.717,Inf,0.363508672,NA,1.634240563,Inf,Inf,4.786,NA,609
580,8.83E-07,30,10.649,Inf,0.280899467,NA,1.455019924,Inf,Inf,14.117,NA,610
581,6.10E-07,30,-12.327,Inf,0.200671223,NA,1.312228793,Inf,Inf,13.433,NA,611
582,5.50E-07,30,-1.828,Inf,0.210768176,NA,1.330400248,Inf,Inf,15.016,NA,612
583,3.10E-06,30,-19.769,Inf,0.22599242,NA,1.357544906,Inf,Inf,10.079,NA,613
584,2.23E-06,30,#NAME?,Inf,0.209209054,NA,1.332346996,Inf,Inf,8.22,NA,614
585,3.36E-06,30,-14.184,Inf,0.196682461,NA,1.302696933,Inf,Inf,13.283,NA,615
586,4.50E-06,30,-17.814,Inf,0.418050959,NA,1.755759141,Inf,Inf,4.17,NA,616
587,4.02E-06,25,-3.68,Inf,0.126773314,NA,1.18809243,Inf,Inf,21.049,NA,617
588,5.15E-06,25,-3.848,Inf,0.158381442,NA,1.240887865,Inf,Inf,18.163,NA,618
589,5.44E-06,25,-2.356,Inf,-0.072102485,NA,0.894776823,Inf,Inf,23.876,NA,619
590,1.58E-06,24.9995,-2.147,Inf,-0.026789765,NA,0.956572387,Inf,Inf,23.977,NA,620
591,1.56E-05,25,-18.887,Inf,0.22179179,NA,1.365109783,Inf,Inf,10.898,NA,621
592,1.25E-05,25,-9.643,Inf,0.189075596,NA,1.300797729,Inf,Inf,16.694,NA,622
593,7.80E-06,25,-8.131,Inf,0.145867149,NA,1.223836496,Inf,Inf,19.333,NA,623
594,3.41E-06,25,-16.182,Inf,0.212309577,NA,1.344065844,Inf,Inf,12.657,NA,624
595,4.66E-06,25,-10.004,Inf,0.225731179,NA,1.367747138,Inf,Inf,13.536,NA,625
596,4.60E-06,25,-13.607,Inf,0.213594,NA,1.345794126,Inf,Inf,13.229,NA,626
597,3.10E-06,25,-3.368,Inf,0.312235573,NA,1.538525622,Inf,Inf,12.374,NA,627
598,3.01E-06,25,-3.783,Inf,0.316732158,NA,1.550061135,Inf,Inf,12.594,NA,628
599,8.24E-06,25,-3.046,Inf,0.427637376,NA,1.811003348,Inf,Inf,6.055,NA,629
600,4.14E-06,25,-1.624,Inf,0.355686292,NA,1.635219401,Inf,Inf,11.99,NA,630
601,6.83E-06,25,-2.92,Inf,0.401326675,NA,1.746317702,Inf,Inf,7.672,NA,631
602,4.19E-06,25,-0.527,Inf,0.379250922,NA,1.688153035,Inf,Inf,11.019,NA,632
603,10.67247231,21.322,3.866,Inf,0.544035458,NA,NA,Inf,Inf,19.693,NA,633
604,4.72E-06,25,-1.472,Inf,0.366469002,NA,1.666187967,Inf,Inf,5.997,NA,634
605,3.26E-06,25,-0.129,Inf,0.468843566,NA,1.917077091,Inf,Inf,4.073,NA,635
606,2.88E-06,25,1.086,Inf,0.638279021,NA,2.408150398,Inf,Inf,3.831,NA,636
607,8.91E-06,36,11.917,Inf,-0.162063066,NA,0.805643364,Inf,Inf,21.009,NA,637
608,8.30E-06,36,12.83,Inf,-0.065574426,NA,0.915044011,Inf,Inf,19.966,NA,638
609,9.38E-06,35,6.63,Inf,0.456406101,NA,1.804722107,Inf,Inf,8.314,NA,639
610,1.77E-05,35,5.447,Inf,0.561210413,NA,2.063650465,Inf,Inf,4.743,NA,640
611,9.86E-06,35,-31.307,Inf,0.290237157,NA,1.464937337,Inf,Inf,6.167,NA,641
612,9.76E-06,35,-5.966,Inf,0.418299905,NA,1.724412957,Inf,Inf,4.848,NA,642
613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643
614,4.55E-05,32.2345,13.925,Inf,0.620891007,NA,2.280986532,Inf,Inf,19.456,NA,644
